Gene	Glucose_fg_cell	Chemostat_mu_0_5
cstA	4.49E-02	5.49E-01
hisH	5.66E-02	2.96E-02
yniA	1.05E-02	1.25E-02
hisA	9.15E-02	4.27E-02
nusB	2.82E-02	2.41E-02
yeiP	1.26E-01	6.73E-02
proC	2.56E-02	3.32E-02
iciA	3.47E-02	2.31E-02
cobB	2.63E-02	2.47E-02
hemB	2.60E-02	2.00E-02
folC	2.75E-02	1.76E-02
pyrH	3.06E-02	2.87E-02
cbpA	7.48E-03	6.94E-03
tatB	1.98E-02	1.54E-02
yebF	3.69E-02	4.15E-02
ftnA	1.04E-01	3.74E-02
yfgM	3.73E-02	2.04E-02
prpB	1.21E-03	1.23E-03
kdsB	2.50E-02	1.56E-02
usg	2.75E-02	2.47E-02
rnc	2.77E-02	2.55E-02
rsmC	4.15E-02	2.58E-02
rpoN	2.67E-02	1.97E-02
nlpD	2.29E-02	1.51E-02
ppsR	1.51E-02	1.34E-02
ydhF	1.65E-02	3.27E-02
fdx	5.60E-02	3.86E-02
entA	6.17E-03	1.86E-03
